dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,pk,pii,classification,sqlDataType,columnSize,definedBy,ordinalPosition,idx,V3
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,PAYMENT_FILE_COST_CENTRE,Column,VARCHAR,true,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,PAYMENT_FILE_NARRATIVE,Column,VARCHAR,true,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,RECEIVED_TIME,Column,DATETIMEOFFSET,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,TOTAL_TRANSACTION_COUNT,Column,INTEGER,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,TOTAL_TRANSACTION_VALUE,Column,DECIMAL,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,TRANSACTION_BATCH_STATUS_CODE,Column,VARCHAR,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch_status,payment_transaction_batch_status,TRANSACTION_BATCH_STATUS_CODE,Column,VARCHAR,false,true,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch_status,payment_transaction_batch_status,TRANSACTION_BATCH_STATUS_DESC,Column,VARCHAR,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,CREATED_AT,Column,DATETIME,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,CREATED_BY,Column,VARCHAR,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,CREDITOR_ACCOUNT_NUMBER,Column,VARCHAR,true,false,true,ACCOUNT_NUMBER,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,CREDITOR_GL_ACCOUNT,Column,VARCHAR,true,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,ENDED_AT,Column,DATETIME,true,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,ENDED_BY,Column,VARCHAR,true,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,ID,Column,UNIQUEID,false,true,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,ROUTING_TYPE,Column,VARCHAR,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,TRANSACTION_ID,Column,UNIQUEID,true,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing_type,payment_transaction_routing_type,ROUTING_TYPE_CODE,Column,VARCHAR,false,true,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing_type,payment_transaction_routing_type,ROUTING_TYPE_DESCRIPTION,Column,VARCHAR,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_status,payment_transaction_status,TRANSACTION_STATUS_CODE,Column,VARCHAR,false,true,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_status,payment_transaction_status,TRANSACTION_STATUS_DESC,Column,VARCHAR,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_type,payment_transaction_type,TRANSACTION_TYPE_CODE,Column,VARCHAR,false,true,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_type,payment_transaction_type,TRANSACTION_TYPE_DESC,Column,VARCHAR,false,false,,,,,,,,
OracleTest,CUSTOMER,CUSTOMER,CUSTOMER,BALANCE,Column,NUMBER,TRUE,,,,2,15,REAL,8,,
OracleTest,CUSTOMER,CUSTOMER,CUSTOMER,CREATED_AT,Column,DATE,TRUE,,,,93,7,DATETIME,6,,
OracleTest,CUSTOMER,CUSTOMER,CUSTOMER,CUSTOMER_ID,Column,NUMBER,FALSE,true,,,2,0,REAL,1,true,
OracleTest,CUSTOMER,CUSTOMER,CUSTOMER,EMAIL,Column,VARCHAR2,TRUE,,true,EMAIL,12,150,STRING,4,true,
OracleTest,CUSTOMER,CUSTOMER,CUSTOMER,FIRST_NAME,Column,VARCHAR2,TRUE,,true,FIRST_NAME,12,100,STRING,2,,
OracleTest,CUSTOMER,CUSTOMER,CUSTOMER,LAST_NAME,Column,VARCHAR2,TRUE,,true,LAST_NAME,12,100,STRING,3,,
OracleTest,CUSTOMER,CUSTOMER,CUSTOMER,PHONE,Column,VARCHAR2,TRUE,,true,TELEPHONE_NUMBER,12,20,STRING,5,,
OracleTest,CUSTOMER,CUSTOMER,CUSTOMER,TS_TEST,Column,TIMESTAMP(6),TRUE,,,,93,11,DATETIME,7,,
OracleTest,CUSTOMER,EMPLOYEE,EMPLOYEE,ACCOUNT_ID,Column,VARCHAR2,TRUE,,true,DRIVER_LICENSE,12,255,STRING,6,,
