dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,columnSize,definedBy,pk,ordinalPosition,pii,classification,nullPercentage,refersTo,V1
LBSDummyC,Customer TS2-PP1,contact,Contact,MARITAL_STATUS_CODE,Column,INTEGER,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_OVERSEAS_ADDRESS_LINE4,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CONTACT_ID,Column,VARBINARY/BLOB,FALSE,18,,TRUE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,ELECTRONIC_IDENTIFICATION_STATUS,Column,INTEGER,FALSE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_BFPO_ADDRESS_SERVICE_NUMBER,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CUSTOMER_START_DATE,Column,DATETIME,FALSE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,EMPLOYMENT_STATUS_ID,Column,VARBINARY/BLOB,TRUE,18,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_ADDRESS_START_DATE,Column,DATETIME,FALSE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,EXTENSION_CODE,Column,NVARCHAR,TRUE,20,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_ADDRESS_SAME_AS_CURRENT_RESIDENTIAL,Column,BIT,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_ADDRESS_END_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_UK_ADDRESS_COUNTY,Column,NVARCHAR,TRUE,30,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,NATIONALITY_ID,Column,NVARCHAR,TRUE,255,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CREATED_ON,Column,DATETIME,FALSE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_UK_ADDRESS_STREET,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,PRONOUN,Column,INTEGER,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,LBS_COLLEAGUE_FLAG,Column,BIT,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_UK_ADDRESS_TOWN,Column,NVARCHAR,TRUE,30,,FALSE,,,,,,
